Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
18,0,IFNg,HighExprHighAffinity,0,HighExpr,HighAffinity,4,1,1,h,ng/mL
44,0,IFNg,HighExprHighAffinity,0,HighExpr,HighAffinity,4,1,1,h,ng/mL
68,0,IFNg,HighExprHighAffinity,0,HighExpr,HighAffinity,4,1,1,h,ng/mL
94,0,IFNg,HighExprHighAffinity,0,HighExpr,HighAffinity,4,1,1,h,ng/mL
18,0,IFNg,HighExprHighAffinity,0.5,HighExpr,HighAffinity,4,2,1,h,ng/mL
44,0,IFNg,HighExprHighAffinity,0.5,HighExpr,HighAffinity,4,2,1,h,ng/mL
68,0,IFNg,HighExprHighAffinity,0.5,HighExpr,HighAffinity,4,2,1,h,ng/mL
94,0,IFNg,HighExprHighAffinity,0.5,HighExpr,HighAffinity,4,2,1,h,ng/mL
18,0,IFNg,HighExprHighAffinity,5,HighExpr,HighAffinity,4,3,1,h,ng/mL
44,0,IFNg,HighExprHighAffinity,5,HighExpr,HighAffinity,4,3,1,h,ng/mL
68,37.927546667,IFNg,HighExprHighAffinity,5,HighExpr,HighAffinity,4,3,0,h,ng/mL
94,158.4952,IFNg,HighExprHighAffinity,5,HighExpr,HighAffinity,4,3,0,h,ng/mL
18,0,IFNg,HighExprHighAffinity,50,HighExpr,HighAffinity,4,4,1,h,ng/mL
44,96.536556667,IFNg,HighExprHighAffinity,50,HighExpr,HighAffinity,4,4,0,h,ng/mL
68,276.23576667,IFNg,HighExprHighAffinity,50,HighExpr,HighAffinity,4,4,0,h,ng/mL
94,864.72493333,IFNg,HighExprHighAffinity,50,HighExpr,HighAffinity,4,4,0,h,ng/mL
18,0,IFNg,HighExprHighAffinity,500,HighExpr,HighAffinity,4,5,1,h,ng/mL
44,624.12213333,IFNg,HighExprHighAffinity,500,HighExpr,HighAffinity,4,5,0,h,ng/mL
68,2132.3126667,IFNg,HighExprHighAffinity,500,HighExpr,HighAffinity,4,5,0,h,ng/mL
94,3999.6503333,IFNg,HighExprHighAffinity,500,HighExpr,HighAffinity,4,5,0,h,ng/mL
18,0,IFNg,HighExprHighAffinity,5000,HighExpr,HighAffinity,4,6,1,h,ng/mL
44,795.0185,IFNg,HighExprHighAffinity,5000,HighExpr,HighAffinity,4,6,0,h,ng/mL
68,3107.9246667,IFNg,HighExprHighAffinity,5000,HighExpr,HighAffinity,4,6,0,h,ng/mL
94,4098.5753333,IFNg,HighExprHighAffinity,5000,HighExpr,HighAffinity,4,6,0,h,ng/mL
18,0,IFNg,HighExprHighAffinity,50000,HighExpr,HighAffinity,4,7,1,h,ng/mL
44,895.90336667,IFNg,HighExprHighAffinity,50000,HighExpr,HighAffinity,4,7,0,h,ng/mL
68,3349.155,IFNg,HighExprHighAffinity,50000,HighExpr,HighAffinity,4,7,0,h,ng/mL
94,4031.4373333,IFNg,HighExprHighAffinity,50000,HighExpr,HighAffinity,4,7,0,h,ng/mL
18,0,TNFa,HighExprHighAffinity,0,HighExpr,HighAffinity,5,1,1,h,ng/mL
44,0,TNFa,HighExprHighAffinity,0,HighExpr,HighAffinity,5,1,1,h,ng/mL
68,0,TNFa,HighExprHighAffinity,0,HighExpr,HighAffinity,5,1,1,h,ng/mL
94,0,TNFa,HighExprHighAffinity,0,HighExpr,HighAffinity,5,1,1,h,ng/mL
18,0,TNFa,HighExprHighAffinity,0.5,HighExpr,HighAffinity,5,2,1,h,ng/mL
